NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M),TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA,public and non-profit,investment entities,support programs,advisory and service provider
SeaTwirl,SeaTwirl is developing a floating wind turbine for the ocean,Europe,Sweden,Gothenburg,57.6976647,11.9688244,2.72,wind energy;marine;sustainable development goals;climate tech;novel energy;other categories novel energy;blue economy;offshore wind;bluetech,energy,clean energy,early growth,Almi Invest;European Innovation Council;GU Ventures AB,investment entities;public and non-profit;support programs,Gothenburg,1,1,1,0
Absolut System SAS,Has been recognized for its capacity for innovation based on unique know-how in multi-sector cryogenics,Europe,France,Grenoble,45.1789744,5.6916987,9,hydrogen;sustainable development goals;climate tech,energy,energy efficiency;clean energy,seed,VOL-V,investment entities,Grenoble,0,1,0,0
Hydrao,Smart solutions for water conservation and management,Europe,France,Grenoble,45.2045676,5.694134,4,mobile technologies;sustainable development goals;climate tech;novel energy,travel;energy,water;energy efficiency;waste solution,early growth,Kima Ventures;INCO;Femmes Business Angels;EIT Climate-KIC;Lita.co,"investment entities,investment entities;support programs;investment entities;support programs;public and non-profit",Grenoble,1,1,2,0
Corre Energy,Developing and operating Long Duration Energy Storage projects and products,Europe,Netherlands,Groningen,53.2190652,6.5680077,10.88,sustainable development goals,energy,energy storage,late growth,FIEE,investment entities,Enschede,0,1,0,0
BioMCN,Produces and sells industrial quantities of bio-methanol,Europe,Netherlands,Groningen,53.3267348,6.93336685,36,biotechnology;biofuel,energy,,late growth,Waterland Private Equity;OCI,"investment entities,investment entities;investment entities",Enschede,0,1,0,0
APK,APK AG - Innovative Recyclingtechnologie aus Merseburg,Europe,Germany,Halle an der Saale,51.319893,11.989039,130,recycling;waste reduction;sustainable development goals;plastic pollution;circular economy;climate tech,energy,waste solution,late growth,MIG Verwaltungs AG;LyondellBasell Industries,"investment entities,investment entities;investment entities",Leipzig,0,1,0,0
vilisto GmbH,Saving up to 32% of heating and CO2 emission in non-residential buildings with self-learning radiator thermostats,Europe,Germany,Hamburg,53.464226,9.982109,1,building energy efficiency;building cooling;green buildings;saas and iot for heating;sustainable development goals;office space;urban tech;climate tech;smart home,real estate;energy,clean energy;real estate services;energy efficiency,early growth,EIT InnoEnergy,investment entities,Hamburg,0,1,0,0
DZ-4,Germany's first provider of solar systems for rent,Europe,Germany,Hamburg,53.55375,9.99183,27.7,sustainable development goals;climate tech,energy,energy providers;clean energy,late growth,EnBW New Ventures,investment entities,Hamburg,0,1,0,0
BroadBit Batteries,A technology company developing revolutionary new batteries using novel sodium-based chemistries to power the future green economy,Europe,Finland,Helsinki,60.1827386,24.8299287,3.25,battery;ev battery;esa bic;esa,energy,energy storage,seed,EIT RawMaterials;ESA BIC Finland;Plug and Play;Plug & Play Topeka;European Innovation Council,support programs;support programs;investment entities;support programs;public and non-profit,Helsinki,1,1,3,0
CH-Bioforce,CH-Bioforce's novel and innovative approach to fractionating biomass allows them to provide a new feedstock source for the chemical industry,Europe,Finland,Helsinki,60.16697665,24.77467369,4.36,biomaterials;biomass;circular economy,health;energy,waste solution;biotechnology,seed,European Innovation Council;New Energy Challenge;EIC Fund (European Innovation Council Fund);100+ Accelerator,public and non-profit;support programs;investment entities;support programs,Helsinki,1,1,2,0
QHeat,Provides innovative geothermal energy solutions,Europe,Finland,Helsinki,60.1676951,24.7653679,2.5,geothermal energy;climate tech;sustainable development goals,energy,energy storage;clean energy,seed,The Finnish Climate Fund,investment entities,Helsinki,0,1,0,0
Teraloop,Teraloop is an innovative grid-scale energy storage system that can provide a future alternative to batteries by balancing the natural supply and demand variation of energy,Europe,Finland,Helsinki,60.1897448,24.83160084,2.62,sustainable development goals;climate tech;nordic rising star 2022;stationary energy storage,energy,energy efficiency;energy storage,early growth,European Innovation Council;Ganapali;European Commission;Startupbootcamp Australia,public and non-profit;investment entities;public and non-profit;support programs,Helsinki,2,1,1,0
There Corporation,There Corporation offers energy efficiency and home energy management solutions for consumers.,Europe,Finland,Helsinki,60.1962665,24.9471054,4.5,sustainable development goals;climate tech,energy,energy efficiency,early growth,VNT Management,investment entities,Helsinki,0,1,0,0
Re-Match,Providing sport arenas and stadiums with the opportunity to dispose of their worn-out synthetic turf in a safe and environmentally friendly way,Europe,Denmark,Herning,56.1341298,9.0980671,2.55,recycling;waste reduction;sustainable development goals;climate tech;nordic rising star 2022;circular economy,sports;energy,waste solution,early growth,European Innovation Council;Nordic Alpha Partners,public and non-profit;investment entities,Aarhus,1,1,0,0
Keliber,Producing battery grade lithium hydroxide for the needs of the growing international lithium battery market,Europe,Finland,Kaustinen,63.5529025,23.7071638,2.65,climate tech;sustainable development goals;mining technologies;lithium ion batteries;nordic rising star 2022;top 50 nordic rising star 2022 finland,energy,energy storage,early growth,Business Finland;Sibanye-Stillwater,public and non-profit;investment entities,Oulu,1,1,0,0
Dancerbus,"An electric transport solution that includes e-buses, full maintenance, and its own green energy supply",Europe,Lithuania,Klaipeda,55.685462,21.207692,1.6,automotive;public transportation;startuplithuania;sustainable development goals;climate tech;ev manufacturing;electric mobility,energy;transportation,clean energy;mobility;vehicle production,early growth,Goldfish Fund,investment entities,Riga,0,1,0,0
Smappee,The first energy buddy that reduces your energy consumption in a sustainable manner,Europe,Belgium,Kortrijk,50.822944,3.310553,2.45,smart home;appliances;solar energy;analytics;sustainable development goals;climate tech,energy,clean energy;energy efficiency;waste solution,early growth,Stefan Grosjean,investment entities,Lille,0,1,0,0
Endev,Endev's complete PAKU process is developed for efficient and cost-effective renewable energy production and nutrient recycling  from wet biomass,Europe,Finland,Kotka,60.5422038,26.9525084,4.31,sustainable development goals;biomass;wastewater treatment;climate tech;circular economy;recycling,energy,waste solution;clean energy;water,seed,TeSi;Tesi,"investment entities;investment entities,investment entities",Helsinki,0,1,0,0
Easilys,IT services company and software publisher for catering services,Europe,France,La Roche-sur-Yon,46.7071439,-1.4266893,1.8,food waste;waste reduction;restaurant tech;sustainable development goals;inventory management;retail;climate tech;catering;circular economy,food;energy,in-store retail & restaurant tech;waste solution,late growth,Groupe Paul Bocuse;MAPAL Group,advisory and service provider;investment entities,Nantes,0,1,0,1
REDstack,"Development, scaling up and marketing of reverse electrodialysis technology",Europe,Netherlands,Leeuwarden,53.0263449,5.672011,9.09,climate tech;sustainable development goals;marine energy;bluetech;blue economy,energy,clean energy;water,early growth,Greenbackers Investment Capital,investment entities,Amsterdam,0,1,0,0
Q-Cells,Renewable Energy Semiconductor Manufacturing,Europe,Germany,Leipzig,51.6245997,12.3079926,10,consumer electronics;natural resources;solar energy;sustainable development goals;climate tech,energy,clean energy,late growth,Hanwha SolarOne,investment entities,Leipzig,0,1,0,0
Calyxo,TS Solar GmbH - Thin Film Solar Panels - Made in Germany,Europe,Germany,Leipzig,51.644013,12.236683,4,natural resources;solar energy;sustainable development goals;climate tech,energy,clean energy,seed,Solar Fields,investment entities,Leipzig,0,1,0,0
Power Dot,"Power Dot offers around 5,000 charging points throughout France, Belgium, Luxembourg, Spain, and Poland",Europe,Portugal,Lisbon,38.7065026,-9.146192,150,ev charging;electric mobility;sustainable development goals;climate tech,energy;transportation,energy storage,late growth,Antin Infrastructure Partners,investment entities,Lisbon,0,1,0,0
Planet Care,A solution that can massively improve the quality of water and so far the only built-in system that prevents the microfibres to be released into washing machine wastewater and enter the environment,Europe,Slovenia,Ljubljana,46.05063,14.50283,1.59,sustainable development goals;climate tech,energy;home living,water,early growth,European Innovation Council;Fashion For Good,public and non-profit;investment entities,Ljubljana,1,1,0,0
MCE-5 Development,,Europe,France,Lyon,45.761081,4.918999,10.3,sustainable development goals;climate tech,media;energy,,early growth,Michel Mulliez,investment entities,Lyon,0,1,0,0
MyLight Systems,Develops innovative energy management solution designed to allow homeowners produce &consume their own solar electricity,Europe,France,Lyon,45.7728689,5.0374688,6.5,solar energy;sustainable development goals;climate tech,real estate;energy,energy storage;clean energy,late growth,Demeter Partners;Inter Invest Capital,"investment entities,investment entities;investment entities",Lyon,0,1,0,0
Healix,Takes waste like fishing nets and ropes and reprocesses them for the global manufacturing supply chain,Europe,Netherlands,Maastricht,50.8743044,5.7151574,10,sustainable development goals;climate tech;circular economy;recycling;plastic pollution;waste reduction,energy,waste solution,seed,Active Capital Company;Netherlands Enterprise Agency (RVO);ABN AMRO Commercial Finance,"investment entities,investment entities;public and non-profit;investment entities",Aachen,1,1,0,0
Beridi Maritime,"Provider of nautical engineering services for offshore wind turbine foundations. The business creates a hollow, monolithic, highly resistant concrete platform for offshore wind turbine installation",Europe,Spain,Madrid,40.492663,-3.7063092,3.41,wind energy;sustainable development goals;maritime;eicfund;climate tech;bluetech,energy,clean energy,seed,European Innovation Council;CDTI;European Commission;EIC Fund (European Innovation Council Fund),public and non-profit;public and non-profit;public and non-profit;investment entities,Madrid,3,1,0,0
Enefgy,"Enefgy offers a platform that enables organizations to store, manage, and analyze the hourly consumption of electricity.",Europe,Spain,Madrid,40.454052,-3.579976,0.92,consumer electronics;dna;biotechnology;genetics;genome engineering;sustainable development goals;climate tech,energy,clean energy;energy efficiency,early growth,Caixa Capital Risc,investment entities,Madrid,0,1,0,0
